Date, Open, High, Low, Close, Volume, Adj Close
2017-08-08,136.03,137.21,135.81,136.18,747127,136.18
2017-08-07,136.27,137.05,135.94,136.65,866302,136.65
2017-08-04,137.55,137.79,136.69,136.9,675694,136.9
2017-08-03,136.95,137.65,136.25,137.14,879567,137.14
2017-08-02,137.49,137.59,135.83,136.53,1238340,136.53
2017-08-01,137.64,138.71,135.71,137.43,1009964,137.43
2017-07-31,135.56,137.41,135.51,137.21,1133216,137.21
2017-07-28,136.48,137.01,135.4,135.64,979628,135.64
2017-07-27,136.9,137.71,135.14,136.87,1257848,136.87
2017-07-26,137.0,137.4,136.37,137.14,980682,137.14
2017-07-25,136.83,137.6613,135.94,136.84,941055,136.84
2017-07-24,134.98,136.26,134.72,136.25,910630,136.25
2017-07-21,134.69,135.785,134.19,134.84,849563,134.84
2017-07-20,135.17,135.91,134.2,135.35,1172297,135.35
2017-07-19,133.43,135.26,133.29,135.19,1082698,135.19
2017-07-18,132.69,133.82,132.65,133.65,808788,133.65
2017-07-17,132.96,133.76,132.62,133.07,1011286,133.07
2017-07-14,132.89,133.39,132.68,132.88,1572001,132.88
2017-07-13,133.45,134.0,131.79,132.4,1597005,132.4
2017-07-12,133.49,133.79,133.03,133.48,1328864,133.48
2017-07-11,132.18,132.98,131.69,132.36,990173,132.36
2017-07-10,131.54,132.43,131.0,131.87,1182592,131.87
2017-07-07,132.0,133.0,131.71,131.9,1226153,131.9
2017-07-06,130.89,131.81,130.26,131.1,1411562,131.1
2017-07-05,131.91,132.89,131.26,131.98,1275638,131.98
2017-07-03,133.82,133.83,131.64,131.68,759267,131.68
2017-06-30,133.75,134.78,132.78,132.81,2294800,132.81
2017-06-29,134.98,135.13,132.35,133.1,1785593,133.1
2017-06-28,135.45,137.62,134.49,135.37,1533380,135.37
2017-06-27,137.78,138.41,135.26,135.29,1540460,135.29
2017-06-26,138.41,139.85,137.68,138.4,1363843,138.4
2017-06-23,140.24,140.78,139.56,140.4,1543627,140.4
2017-06-22,139.9,140.64,139.6,139.99,1112937,139.99
2017-06-21,140.78,141.52,139.98,140.25,1265117,140.25
2017-06-20,140.56,140.9,140.03,140.17,1042187,140.17
2017-06-19,140.2,141.28,139.75,140.75,1690153,140.75
2017-06-16,138.65,140.46,138.65,139.49,1920789,139.49
2017-06-15,138.96,140.48,138.13,140.0,1346991,140.0
2017-06-14,140.5,141.03,138.86,140.19,906917,140.19
2017-06-13,139.8,140.71,139.41,139.88,1492520,139.88
2017-06-12,138.96,140.14,138.01,139.74,1776498,139.74
2017-06-09,143.0,143.81,139.1,140.21,1890790,140.21
2017-06-08,142.23,142.99,141.61,142.71,1416781,142.71
2017-06-07,142.12,142.8099,141.43,141.97,1447281,141.97
2017-06-06,142.18,142.94,141.6,141.63,1987086,141.63
2017-06-05,142.62,143.46,142.19,142.65,1472544,142.65
2017-06-02,141.22,142.89,141.125,142.81,1522499,142.81
2017-06-01,140.55,141.675,140.27,141.33,1903064,141.33
2017-05-31,140.2,141.08,139.52,140.64,2387963,140.64
2017-05-30,138.48,140.2,138.0,140.05,2606337,140.05
2017-05-26,138.03,139.86,136.83,138.56,2318291,138.56
2017-05-25,137.53,138.81,135.43,138.36,3528903,138.36
2017-05-24,139.71,140.25,136.41,137.83,5279842,137.83
2017-05-23,127.8,130.1,127.39,129.15,2670834,129.15
2017-05-22,125.5,127.28,125.16,127.16,1719844,127.16
2017-05-19,125.28,126.67,124.7,125.38,2704503,125.38
2017-05-18,125.2,125.83,124.22,125.15,1697268,125.15
2017-05-17,126.76,127.4199,125.29,125.35,1472074,125.35
2017-05-16,127.58,127.61,127.1101,127.5,930721,127.5
2017-05-15,126.33,127.64,126.01,127.63,1346496,127.63
2017-05-12,126.87,126.87,126.14,126.51,793577,126.51
2017-05-11,126.84,127.19,126.08,126.88,978616,126.88
2017-05-10,126.45,127.46,126.45,127.09,1378333,127.09
2017-05-09,126.22,127.08,125.905,126.73,1096983,126.73
2017-05-08,126.15,126.3499,125.55,126.17,974734,126.17
2017-05-05,126.48,126.48,125.7,126.14,755251,126.14
2017-05-04,125.93,126.12,125.47,125.95,971341,125.95
2017-05-03,126.0,126.0,125.09,125.6,936600,125.6
2017-05-02,125.75,126.19,125.02,125.91,1427922,125.91
2017-05-01,125.55,125.67,124.72,125.52,1382038,125.52
2017-04-28,126.08,126.08,124.82,125.21,1943288,125.21
2017-04-27,123.34,125.74,123.15,125.61,4945719,125.61
2017-04-26,118.9,119.02,115.62,115.81,3963359,115.81
2017-04-25,118.92,119.38,118.61,119.08,2072290,119.08
2017-04-24,119.42,119.42,118.25,118.76,1748065,118.76
2017-04-21,118.48,118.73,117.925,118.36,2409515,118.36
2017-04-20,119.11,119.13,117.84,118.27,2790692,118.27
2017-04-19,119.66,119.73,118.7,118.97,1434399,118.97
2017-04-18,118.43,119.48,118.27,119.35,1719169,119.35
2017-04-17,118.29,118.665,117.93,118.64,940191,118.64
2017-04-13,118.05,118.89,117.72,117.89,1115890,117.89
2017-04-12,118.23,118.38,117.51,117.83,1668004,117.83
2017-04-11,118.36,118.745,117.38,118.68,1673345,118.68
2017-04-10,118.55,119.3,118.04,118.62,2147198,118.62
2017-04-07,117.99,118.96,117.81,118.46,2561839,118.46
2017-04-06,116.04,117.86,115.56,117.81,3653592,117.81
2017-04-05,116.57,117.28,116.05,116.55,1881654,116.55
2017-04-04,115.69,116.78,115.69,116.03,1718284,116.03
2017-04-03,116.05,116.52,114.8,116.17,4074497,116.17
2017-03-31,115.5,116.39,115.3,115.99,4699786,115.99
2017-03-30,117.55,117.79,115.43,115.62,2093390,115.62
2017-03-29,117.83,118.14,116.77,117.88,4294900,117.88
2017-03-28,118.75,118.9,117.635,118.0,2695308,118.0
2017-03-27,118.85,119.06,117.79,118.45,2110567,118.45
2017-03-24,120.43,120.635,119.1,119.72,1890141,119.72
2017-03-23,121.3,122.07,119.9,119.99,1485320,119.99
2017-03-22,121.26,121.49,120.8167,121.12,1571485,121.12
2017-03-21,123.53,123.7989,120.95,121.05,1754168,121.05
2017-03-20,123.57,124.19,122.77,123.4,1380501,123.4
2017-03-17,124.5,124.63,123.69,123.92,1668084,123.92
2017-03-16,124.64,124.94,123.9,124.35,1259890,124.35
2017-03-15,124.93,125.36,124.175,124.67,1358309,124.67
2017-03-14,124.88,125.03,123.85,124.31,2018531,124.31
2017-03-13,124.77,125.08,124.45,124.95,2094595,124.95
2017-03-10,125.69,125.69,124.66,124.94,1282107,124.94
2017-03-09,125.93,126.0,124.27,124.76,1294830,124.76
2017-03-08,125.05,125.65,124.85,125.6,1469691,125.6
2017-03-07,126.44,126.49,125.29,125.4,1121920,125.4
2017-03-06,125.74,126.55,125.43,126.1,1045487,126.1
2017-03-03,125.38,126.67,124.71,126.45,1500620,126.45
2017-03-02,123.94,125.42,123.86,125.17,1543117,125.17
2017-03-01,125.89,125.89,124.18,124.53,2503414,124.53
2017-02-28,125.72,125.86,124.3944,125.44,1932311,125.44
2017-02-27,126.95,127.58,125.37,125.85,2245847,125.85
2017-02-24,126.5,128.45,123.87,128.01,3478488,128.01
2017-02-23,119.49,120.98,119.06,120.7,1635059,120.7
2017-02-22,119.77,120.16,119.11,119.43,1254804,119.43
2017-02-21,119.42,120.54,118.81,119.87,1505708,119.87
2017-02-17,119.24,119.87,118.195,119.86,2113438,119.86
2017-02-16,119.0,119.329,118.37,119.24,874967,119.24
2017-02-15,118.54,118.96,117.93,118.95,1031135,118.95
2017-02-14,118.16,118.87,117.535,118.84,1475192,118.84
2017-02-13,118.19,118.68,117.21,118.4,1357838,118.4
2017-02-10,116.56,117.55,115.89,117.53,1428133,117.53
2017-02-09,116.62,117.27,115.8,116.09,1718336,116.09
2017-02-08,111.9,117.66,111.9,116.55,2964334,116.55
2017-02-07,118.24,118.59,117.2,117.48,790924,117.48
2017-02-06,118.09,118.17,117.28,117.89,757166,117.89
2017-02-03,118.54,119.25,118.32,118.37,828160,118.37
2017-02-02,117.21,118.19,116.43,117.83,743836,117.83
2017-02-01,118.49,118.99,117.39,117.71,922747,117.71
2017-01-31,118.42,118.58,117.618,118.58,1207227,118.58
2017-01-30,118.49,118.55,117.31,118.53,808377,118.53
2017-01-27,119.12,119.26,118.21,118.59,703010,118.59
2017-01-26,120.0,120.11,118.38,118.46,1041571,118.46
2017-01-25,119.64,120.55,119.08,120.01,1442658,120.01
2017-01-24,117.72,118.85,117.27,118.75,964560,118.75
2017-01-23,117.05,117.45,116.23,117.1,1053798,117.1
2017-01-20,116.48,117.21,115.78,117.1,1376842,117.1
2017-01-19,116.07,116.4,115.07,115.95,961792,115.95
2017-01-18,116.6,116.86,115.625,115.79,843087,115.79
2017-01-17,116.96,117.31,115.59,116.09,754380,116.09
2017-01-13,117.03,117.27,116.51,117.1,616349,117.1
2017-01-12,116.24,117.15,115.37,117.04,708052,117.04
2017-01-11,116.1,116.69,115.48,116.38,838513,116.38
2017-01-10,116.44,116.63,115.26,116.11,925509,116.11
2017-01-09,116.89,116.98,115.79,116.51,706442,116.51
2017-01-06,115.6,117.03,115.2,116.86,997199,116.86
2017-01-05,114.78,115.74,114.5,115.69,1051677,115.69
2017-01-04,114.71,115.63,114.3,114.98,871728,114.98
2017-01-03,114.34,115.3,114.1,114.75,1434186,114.75
2016-12-30,115.33,115.76,113.54,114.61,1443062,114.61
2016-12-29,115.41,115.85,114.81,114.92,636660,114.92
2016-12-28,116.88,116.89,115.18,115.46,801486,115.46
2016-12-27,117.36,117.94,116.62,116.9,819578,116.9
2016-12-23,116.99,117.45,116.6,116.92,417103,116.92
2016-12-22,117.28,117.45,116.26,116.91,696726,116.91
2016-12-21,118.28,118.37,117.4,117.69,567001,117.69
2016-12-20,118.63,118.63,117.67,118.39,638362,118.39
2016-12-19,117.16,118.61,117.05,118.15,651363,118.15
2016-12-16,118.28,118.28,116.75,117.31,1496019,117.31
2016-12-15,117.71,118.19,117.14,117.78,853093,117.78
2016-12-14,118.04,118.655,117.55,117.67,996052,117.67
2016-12-13,116.18,118.5578,116.05,117.79,978583,117.79
2016-12-12,116.63,116.96,115.53,116.03,973337,116.03
2016-12-09,117.58,117.64,116.67,116.98,1174984,116.98
2016-12-08,116.43,117.74,116.13,117.67,999581,117.67
2016-12-07,114.32,116.64,114.22,116.61,942456,116.61
2016-12-06,114.79,114.89,113.7,114.53,852423,114.53
2016-12-05,113.92,115.58,111.48,114.89,1041809,114.89
2016-12-02,113.25,113.83,112.23,113.26,840223,113.26
2016-12-01,113.79,114.2,112.4,113.37,2088867,113.37
2016-11-30,116.16,116.25,113.67,113.68,1696086,113.68
2016-11-29,115.54,116.63,115.33,116.16,1480416,116.16
2016-11-28,115.9,116.5,115.28,115.71,1166174,115.71
2016-11-25,115.9,116.17,115.32,116.07,516816,116.07
2016-11-23,116.32,116.38,115.55,115.82,1497622,115.82
2016-11-22,116.24,116.66,115.62,116.43,1382824,116.43
2016-11-21,115.25,115.98,114.69,115.67,1940584,115.67
2016-11-18,113.74,116.62,113.63,115.98,4870535,115.98
2016-11-17,110.81,113.84,110.22,113.8,1912566,113.8
2016-11-16,110.83,111.02,109.96,110.86,2329975,110.86
2016-11-15,110.46,111.82,110.225,110.9,1405606,110.9
2016-11-14,111.5,112.06,109.92,110.01,1822181,110.01
2016-11-11,109.0,111.52,108.7,111.38,2334510,111.38
2016-11-10,109.6,110.58,107.19,109.23,1515598,109.23
2016-11-09,104.27,109.57,103.2211,109.36,2198541,109.36
2016-11-08,107.95,108.93,107.36,108.35,882482,108.35
2016-11-07,106.6,107.99,106.37,107.9,1169794,107.9
2016-11-04,104.61,106.3519,104.56,105.28,1035035,105.28
2016-11-03,108.4,108.4,105.48,105.6,1110300,105.6
2016-11-02,107.41,107.64,106.03,106.2,1204449,106.2
2016-11-01,109.03,109.19,106.63,107.39,1048098,107.39
2016-10-31,108.72,109.15,108.28,108.74,1349110,108.74
2016-10-28,107.5,108.66,107.35,108.17,1157772,108.17
2016-10-27,108.37,108.5,107.22,107.31,1245552,107.31
2016-10-26,108.2,108.515,107.67,107.82,980822,107.82
2016-10-25,109.64,109.81,108.09,108.32,1203137,108.32
2016-10-24,109.22,109.99,108.8,109.625,974547,109.625
2016-10-21,107.71,108.89,107.08,108.45,3144137,108.45
2016-10-20,108.0,108.32,107.31,107.9,856715,107.9
2016-10-19,107.82,108.57,107.15,108.19,1234816,108.19
2016-10-18,107.97,108.7999,107.08,107.15,897266,107.15
2016-10-17,106.95,107.545,106.63,106.88,740864,106.88
2016-10-14,107.56,108.17,106.94,106.99,1100242,106.99
2016-10-13,106.8,107.3028,106.51,106.8,1376199,106.8
2016-10-12,106.96,108.02,106.41,107.53,1628836,107.53
2016-10-11,108.08,108.22,106.542,106.99,1831633,106.99
2016-10-10,108.48,108.84,108.12,108.15,860488,108.15
2016-10-07,109.0,109.0,106.93,107.45,1524274,107.45
2016-10-06,108.39,108.95,107.945,108.84,1251338,108.84
2016-10-05,109.74,109.77,108.52,108.61,1025980,108.61
2016-10-04,109.45,109.92,108.88,109.37,520436,109.37
2016-10-03,109.83,110.12,108.9,109.16,818239,109.16
2016-09-30,109.53,110.33,109.21,110.01,1681411,110.01
2016-09-29,109.78,110.44,108.93,109.31,892674,109.31
2016-09-28,110.03,110.305,109.39,110.18,1129058,110.18
2016-09-27,108.9,110.43,108.58,110.11,1024626,110.11
2016-09-26,109.19,109.49,108.58,108.98,1238374,108.98
2016-09-23,110.17,110.53,109.26,109.9,1264092,109.9
2016-09-22,111.14,111.49,110.59,110.76,1255609,110.76
2016-09-21,109.52,111.0,108.9,110.78,1352855,110.78
2016-09-20,109.75,109.85,108.68,108.97,1087767,108.97
2016-09-19,109.42,109.97,108.95,108.98,1245805,108.98
2016-09-16,109.42,109.48,108.16,109.0,3314060,109.0
2016-09-15,108.14,109.97,107.64,109.76,1536056,109.76
2016-09-14,106.97,108.19,106.72,108.11,1965836,108.11
2016-09-13,107.08,108.22,106.34,106.7,2110337,106.7
2016-09-12,108.92,109.92,108.33,109.54,1462149,109.54
2016-09-09,109.92,110.46,109.24,109.25,1705845,109.25
2016-09-08,111.44,111.975,110.83,110.96,1204246,110.96
2016-09-07,111.44,111.97,110.92,111.97,1526096,111.97
2016-09-06,111.89,112.0599,110.4,111.37,2091030,111.37
2016-09-02,112.91,113.105,111.44,112.07,987595,112.07
2016-09-01,111.28,112.35,110.8501,112.34,1339907,112.34
2016-08-31,111.11,111.56,110.64,111.45,1413916,111.45
2016-08-30,110.71,111.16,110.11,111.15,1503370,111.15
2016-08-29,110.41,111.14,110.41,110.76,1301927,110.76
2016-08-26,109.78,111.04,109.6694,110.32,1056475,110.32
2016-08-25,109.95,110.86,109.57,110.0,1553890,110.0
2016-08-24,108.38,110.33,108.0,109.85,4420854,109.85
2016-08-23,113.25,114.0,112.5,113.84,1546282,113.84
2016-08-22,112.74,113.4,112.32,112.54,785224,112.54
2016-08-19,112.59,113.19,112.16,112.8,924483,112.8
2016-08-18,112.52,113.16,111.99,112.54,934298,112.54
2016-08-17,112.79,113.0,112.01,112.74,1149218,112.74
2016-08-16,113.03,113.03,112.41,112.47,1040354,112.47
2016-08-15,112.53,114.06,111.89,113.32,1205969,113.32
2016-08-12,112.57,112.922,111.85,112.09,854854,112.09
2016-08-11,112.91,113.57,112.49,113.15,843170,113.15
2016-08-10,112.13,113.02,112.0901,112.86,1284001,112.86
2016-08-09,112.04,112.76,111.82,112.13,1081552,112.13
2016-08-08,111.82,112.44,111.49,112.02,1426231,112.02
2016-08-05,110.05,111.91,110.05,111.49,900698,111.49
2016-08-04,110.17,110.62,109.71,109.9,757244,109.9
2016-08-03,108.89,109.86,108.85,109.83,1280033,109.83
2016-08-02,110.52,110.62,108.7,109.22,1817418,109.22
2016-08-01,111.42,111.77,110.0,110.76,3405562,110.76
2016-07-29,112.22,112.22,110.39,110.99,3062495,110.99
2016-07-28,112.65,113.0,111.42,112.04,2383875,112.04
2016-07-27,113.59,113.59,112.01,112.54,1731082,112.54
2016-07-26,114.13,114.62,113.2,113.62,782855,113.62
2016-07-25,113.97,114.04,113.46,113.95,567145,113.95
2016-07-22,113.59,114.335,112.99,114.06,717718,114.06
2016-07-21,114.48,114.49,112.71,113.19,961420,113.19
2016-07-20,112.78,115.29,112.72,114.79,1555125,114.79
2016-07-19,115.07,115.49,114.56,114.78,865572,114.78
2016-07-18,114.89,115.75,114.55,115.25,737384,115.25
2016-07-15,116.58,116.58,114.46,114.98,2158381,114.98
2016-07-14,116.52,116.87,115.64,116.39,881714,116.39
2016-07-13,116.96,116.97,115.91,115.92,967154,115.92
2016-07-12,116.45,116.72,115.5,116.34,1200731,116.34
2016-07-11,116.05,116.399,115.35,115.63,1535873,115.63
2016-07-08,115.0,116.03,113.98,115.48,1507471,115.48
2016-07-07,113.19,114.26,112.865,114.25,1074470,114.25
2016-07-06,112.04,113.33,111.87,113.28,1328628,113.28
2016-07-05,111.51,113.02,111.236,112.74,1578203,112.74
2016-07-01,111.73,112.48,111.35,111.91,1017530,111.91
2016-06-30,109.37,111.79,109.1,111.61,2191508,111.61
2016-06-29,106.61,109.37,106.61,109.29,1645816,109.29
2016-06-28,105.2,106.06,104.73,105.99,1643632,105.99
2016-06-27,104.24,104.82,103.03,104.18,1771140,104.18
2016-06-24,103.86,106.48,103.6,105.33,5050305,105.33
2016-06-23,108.03,108.95,107.12,108.95,1418507,108.95
2016-06-22,107.76,107.89,106.38,106.45,1453615,106.45
2016-06-21,107.63,108.24,107.11,107.9,1817610,107.9
2016-06-20,106.33,107.74,106.05,107.35,1397697,107.35
2016-06-17,106.28,106.4399,104.72,105.36,1689323,105.36
2016-06-16,105.84,106.71,105.24,106.49,863279,106.49
2016-06-15,106.79,106.89,106.13,106.28,1197903,106.28
2016-06-14,105.3,106.46,104.79,106.22,874433,106.22
2016-06-13,105.59,106.97,105.59,105.66,1342841,105.66
2016-06-10,105.85,107.16,105.77,106.44,1397811,106.44
2016-06-09,107.08,107.58,106.7,107.52,1490574,107.52
2016-06-08,108.69,108.85,107.32,107.43,1436672,107.43
2016-06-07,108.3,108.95,108.24,108.45,1282573,108.45
2016-06-06,107.36,108.39,107.08,108.13,1548909,108.13
2016-06-03,107.61,107.765,106.72,107.45,1733149,107.45
2016-06-02,106.93,108.25,106.5,108.12,1137708,108.12
2016-06-01,105.85,107.46,105.625,107.2,1304258,107.2
2016-05-31,108.0,108.68,105.91,106.66,2598551,106.66
2016-05-27,107.29,107.93,106.84,107.89,1386421,107.89
2016-05-26,105.0,107.74,104.88,106.83,2659034,106.83
2016-05-25,103.03,105.95,101.81,105.02,4732725,105.02
2016-05-24,105.14,107.46,105.09,107.31,2834916,107.31
2016-05-23,103.64,105.04,103.55,104.62,2066313,104.62
2016-05-20,101.89,103.58,101.59,103.03,1170550,103.03
2016-05-19,101.77,102.47,100.72,101.42,834389,101.42
2016-05-18,102.22,103.11,101.81,102.7,1043073,102.7
2016-05-17,103.52,103.615,101.88,102.15,912585,102.15
2016-05-16,102.25,104.54,102.09,103.73,1047290,103.73
2016-05-13,102.12,103.17,102.0,102.03,781863,102.03
2016-05-12,102.41,103.06,101.21,102.21,713364,102.21
2016-05-11,102.79,103.52,102.23,102.32,617270,102.32
2016-05-10,102.2,102.85,101.435,102.8,731934,102.8
2016-05-09,101.36,102.4199,101.18,101.67,714751,101.67
2016-05-06,99.57,101.23,99.25,101.04,883161,101.04
2016-05-05,100.15,101.34,100.0,100.4,1063251,100.4
2016-05-04,101.03,101.25,99.6,99.89,1189701,99.89
2016-05-03,101.43,101.9,100.7,101.4,891720,101.4
2016-05-02,101.4,102.33,100.62,102.21,1806726,102.21
2016-04-29,100.48,101.09,99.2,100.89,1613587,100.89
2016-04-28,102.66,102.81,101.07,101.37,1329270,101.37
2016-04-27,103.96,104.47,102.575,103.51,1027311,103.51
2016-04-26,104.59,105.0,103.12,103.92,1234683,103.92
2016-04-25,102.15,102.59,101.89,102.36,888904,102.36
2016-04-22,102.04,102.44,100.76,102.33,1614211,102.33
