Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,535.18,541.66,532.0,532.26,672416,532.26
2018-02-06,510.81,538.52,507.26,535.22,1076684,535.22
2018-02-05,539.99,553.03,518.5,524.97,1129441,524.97
2018-02-02,565.26,565.26,545.81,548.32,808150,548.32
2018-02-01,561.41,568.48,558.75,565.19,659597,565.19
2018-01-31,564.81,566.97,559.65,561.8,665825,561.8
2018-01-30,570.05,571.53,562.18,562.29,851135,562.29
2018-01-29,585.53,585.53,574.2,574.42,611014,574.42
2018-01-26,578.21,586.95,577.12,586.8,516601,586.8
2018-01-25,585.0,585.93,572.95,575.5,892464,575.5
2018-01-24,591.9,592.45,583.18,587.67,642174,587.67
2018-01-23,593.0,594.52,588.4,589.68,643398,589.68
2018-01-22,592.46,593.44,581.99,593.26,843573,593.26
2018-01-19,582.62,590.56,581.03,590.26,591655,590.26
2018-01-18,577.27,584.21,575.02,579.22,819845,579.22
2018-01-17,567.21,578.63,565.29,576.51,983901,576.51
2018-01-16,562.62,571.82,561.06,563.0,1370552,563.0
2018-01-12,552.7,556.37,546.71,555.53,941849,555.53
2018-01-11,534.15,538.955,530.61,537.92,765925,537.92
2018-01-10,534.47,535.88,529.78,531.57,483772,531.57
2018-01-09,529.0,540.0,528.57,533.94,547671,533.94
2018-01-08,523.94,529.72,523.52,529.49,561517,529.49
2018-01-05,523.86,525.94,520.89,525.57,482968,525.57
2018-01-04,516.5,521.31,515.01,521.13,389830,521.13
2018-01-03,508.66,514.74,508.16,514.34,448724,514.34
2018-01-02,518.78,518.78,506.4801,508.97,527135,508.97
2017-12-29,520.0,520.0299,513.71,513.71,306692,513.71
2017-12-28,515.0,518.3,514.71,517.98,222400,517.98
2017-12-27,514.37,515.62,512.26,514.32,216019,514.32
2017-12-26,513.33,513.99,510.01,513.72,177023,513.72
2017-12-22,513.89,514.67,508.64,512.12,258244,512.12
2017-12-21,516.41,518.6799,512.88,513.59,374923,513.59
2017-12-20,515.61,520.42,512.54,514.55,294654,514.55
2017-12-19,517.4,520.74,515.06,515.82,424475,515.82
2017-12-18,517.45,519.46,515.0701,518.86,433278,518.86
2017-12-15,506.89,515.71,506.37,511.87,896396,511.87
2017-12-14,512.63,514.7548,506.49,506.75,336332,506.75
2017-12-13,517.02,518.88,511.4,512.55,482113,512.55
2017-12-12,513.94,518.55,511.67,517.73,430666,517.73
2017-12-11,515.13,515.71,510.79,512.13,398137,512.13
2017-12-08,514.2,517.305,511.61,515.49,471686,515.49
2017-12-07,511.41,516.47,511.27,512.41,416743,512.41
